AC013264.2	AGER	BPIFB1	C11orf88	C11orf97	C12orf75	C1orf194	C20orf85	C2orf40	C5orf49	C8orf4	C9orf116	C9orf24	CAPSL	CAV2	CCDC146	CCDC170	CCDC78	CEACAM6	CFAP126	CLIC5	CXCL17	DNAAF1	DYNLRB2	FABP6	FAM183A	FAM216B	FAM92B	GGTLC1	HOPX	ITLN2	LDLRAD1	LRRIQ1	MDK	MORN5	MS4A8	MYL9	PIFO	PIGR	RNASE1	ROPN1L	RPS4Y1	RSPH1	RTKN2	S100A14	SCGB1A1	SFTA2	SFTPC	SNTN	SPOCK2	TFPI	TMEM190	TNNC1	UPK3B	ZMYND10	tumoral	Normal
AC013264.2	0	0	0	0	2	0	-2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	0	0	0
BPIFB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
C11orf88	0	0	0	0	0	0	-2	0	0	1	0	-2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C11orf97	-2	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C12orf75	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf194	2	0	0	2	0	0	0	0	0	-2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	-2	0	0	0	0	0	0	1	0	2	1	0	2	0	0	1	0	1	0	0	0	0	0	-2	0	0	0	0	0	0	0	0
C20orf85	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C2orf40	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C5orf49	0	0	0	1	0	1	2	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	-2	0	0	1	0	-2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
