"","AC013264.2","AGER","AGR3","ANXA3","C11orf88","C11orf97","C12orf75","C1orf194","C20orf85","C2orf40","C5orf49","C9orf116","C9orf24","CAPSL","CATSPERD","CCDC78","CCNL1","CFAP126","DNAAF1","DYNLRB2","EFCAB1","FABP6","FAM183A","FAM229B","FAM92B","FXYD3","GAS6","HOPX","IGF2","LRRC46","LRRIQ1","MALL","MORN5","MS4A8","MT-ND5","NEAT1","NUPR1","OMG","PIFO","PIGR","RNASE1","ROPN1L","RP11-356K23.1","RPS4Y1","RSPH1","RSPH9","RTKN2","S100A14","SFTPC","SFTPD","SLPI","SNTN","TMEM190","TNNC1","UPK3B","ZMYND10","class"
"AC013264.2",0,0.0019189176680866,0.0289667418346811,0.00195189121375082,0.456334119845634,0,0,0,0.441564056131767,0.418467833486599,0,0,0,0,0.414416271896763,0,4.37083841310706e-05,0,0,0,0,0,0,0.121748233787351,0,0.022081475147643,0.00426488318585676,0.0478247969214333,0.000278951822959019,0,0,0.0365405611445032,0.418576128445422,0,0.00153116928409542,0.000155434070109405,0.000689516675240937,0,0,0.00225945498261653,0.0426117470295847,0,0,0.00638311030475366,0,0,0.00121044527847924,0.0369809875391459,0.00232052376478101,0.0118996957753795,0.000299786004823549,0,0,0.00210680510458819,0.000360755264812401,0,0.0246710071768646
"AGER",0.0019189176680866,0,0.00936355786153442,0.0428250291148647,0.00256157502750923,0.00195715858072184,0.000472419248971673,0.00326487389339703,0.00267319758010194,0.00189025804471647,0.00257584670069749,0.00423670020582342,0.00216519746367646,0.00245476873526147,0.00262264833159077,0.00218536772159192,0.00029441212360017,0.00397637859058531,0.00235613520638716,0.00132523137602909,0.00209874958720231,0.00405101561459626,0.00193929526614513,3.99731850978062e-05,0.00151186140129148,0.049994298706337,0.0786888521927592,0.0370597216078475,0.00368840421990473,0.00153595551531612,0.00213169366261815,0.00744934244881471,0.00202256623816841,0.00287696605487895,0.00599441990896531,0.00219404164688782,0.0336307985174426,0.00162125038443982,0.00172738075338392,2.09944163182837e-05,0.0379133141373573,0.00171116388232759,0.00176569543823578,0.000134901094908189,0.00449349709368766,0.00132586516675356,0.0769684686010714,2.72922387909542e-05,0.0098297028548743,0.0173868611865517,0.00205314813545746,0.0020138482687693,0.00115571089459819,0.0967569754751671,0.0363399064186437,0.00206662762891529,0.0386623298473607
"AGR3",0.0289667418346811,0.00936355786153442,0,0.000290953353759793,0.0424740444226005,0.0345019660261269,0.0231673393577312,0.043776892582605,0.0460692118019564,0.0402601345021788,0.0336019183039543,0.0130211920965568,0.0384610025361619,0.0370755321751708,0.0301983804282691,0.0277441466378504,0.000991443223500322,0.0238955101285144,0.0266417934026296,0.0415179927465232,0.0337517872146518,0.0210350207013269,0.049821752923006,0.0126019306303204,0.0296174947615233,0.0686878565029401,0.0231408262522958,0.000902753913413756,0.00325030384806318,0.0283211353348385,0.0191291938926762,0.00176592648813539,0.0354874823755888,0.0393222535692733,0.0121343045186797,0.014305241152591,0.0782646115719743,0.0223474225513221,0.0279676992179651,0.0974746804559016,0,0.0329098161784323,0.034177094118383,0.00608053629043445,0.0152029401844824,0.0231785728625497,0.00138833439589945,0,0.0614844923083641,0.0747665614152613,0.105754830374728,0.0297860891565718,0.0239683944436373,0.00382209102298461,0.00344155712094221,0.037128699290079,0.0790001003373693
"ANXA3",0.00195189121375082,0.0428250291148647,0.000290953353759793,0,0.00178481823798192,0.000644214661646526,9.36550832938977e-06,0.00164813064609487,0.00153042371735677,0.00159255467554682,0.00153824203242491,0.000200659648143145,0.00165697987875273,0.00106465154164596,0.00113202630343632,0.000384238133555532,0.002324904558128,0.000736427392741961,0.00135744502882673,0.000884313637229739,0.00094871834734336,5.64648983220024e-05,0.0027545999446678,0.000256771479337328,0.00135514026748021,0.00699727705151266,0.0192160947851996,0.00282286277032356,0.00178954523967187,0.00151956257114216,3.88803945563853e-05,0.0187284402465031,0.00105174043897502,0.00123869661063791,0.00143014487166954,0.004882943250594,1.76739324165452e-06,0.000718593560063607,5.79832584623586e-05,0.00629204977980625,0.000576328581295752,0.000986651113675811,0.0011475220123753,0.00807873662544866,0.000161131426776742,0.00081043940482312,0.0461744036792004,0.00368409882957935,0.00802459967483454,0.00493942079981111,0.00518821987662318,0.000634829730370414,0.000709060540098536,0.0325819513197828,0.0360705088440008,0.00180667914504403,0.000937093482922539
"C11orf88",0.456334119845634,0.00256157502750923,0.0424740444226005,0.00178481823798192,0,0.515240023340056,0.267494620538489,0.649016097575745,0.79494110694882,0.662428250056486,0.407087974809307,0.212146760046107,0.561435488892227,0.622513071746957,0,0,0.000146298182535153,0.324436438672062,0.436176979873106,0.486748482953724,0.495172473929479,0,0,0.141438889767032,0.558194582573488,0.0329687722009616,0.00768755074748316,0.0672054680275154,0.00107179114096023,0.315047476884699,0.252454535848192,0.0489958891882386,0.611760273758845,0,0.00302367480791331,1.95808597696423e-05,0,0.42970166555636,0.209484106911575,0,0.0520052579938626,0.497259035821708,0.549599411926182,0.0090254950521231,0.236084247762869,0.33486140518759,0.00201429104805365,0.051292037481855,0.00319191607789609,0.0175732609935397,0,0.416059188644893,0.392085321808168,0.00534031000638426,0.00145562014930068,0.343371194247918,0.0385087125717428
"C11orf97",0,0.00195715858072184,0.0345019660261269,0.000644214661646526,0.515240023340056,0,0,0,0.536409720866675,0,0,0.178647174914456,0,0.55250925833842,0,0,0.000211858825327439,0,0,0,0,0,0,0.13250569310442,0,0.0236238994264971,0.00876713607925486,0.0556215233752795,0.00125855539840151,0,0,0.039981832775651,0,0,0.00291391568402076,1.00160871288019e-06,0.000924953364755145,0,0,0.000592151410490115,0.0459137618797795,0,0,0.00685239384645025,0,0,0.0017541447498238,0.0440023203884679,0.00272394560118903,0.0138110142919879,0.000349753415451235,0,0.377973130877663,0.00492191928624031,0.000892935713242586,0,0.0293183873520095
"C12orf75",0,0.000472419248971673,0.0231673393577312,9.36550832938977e-06,0.267494620538489,0,0,0.230979178703557,0.279156404150399,0.244713880299288,0,0,0,0.272240402154297,0,0,0.000123434689906716,0,0,0,0,0,0.263966764481805,0,0,0.0198431360485693,0.00607245146119575,0.0418550606709609,0.000220716772942151,0,0,0.0310781713263092,0.24846146510421,0,0.000365472928254928,6.77621444882395e-07,0.000752688408875407,0,0,0.00116950390907464,0.0342968325776719,0,0,0.00518315818286568,0,0,0.0022669897150716,0.0309846108024187,0.00287959770042143,0.00867004993075723,0.00069770843804433,0,0,0.00143071205748893,0.00068602648467841,0,0.0242554367455123
"C1orf194",0,0.00326487389339703,0.043776892582605,0.00164813064609487,0.649016097575745,0,0.230979178703557,0,0.655054165789764,0,0.401066601465912,0.217624225339629,0,0,0,0,3.80429678686103e-06,0.315979476529887,0,0,0,0,0,0.138640288056094,0,0.0264028699843011,0.00435628184710796,0.0692821347656705,0.00210294004885217,0,0.242610120986944,0.0425541505338136,0,0,0.00314271570916669,1.60680637045804e-06,0,0,0.198389637555562,0,0.0542452021082252,0,0,0.00776475247200093,0.246783338983436,0.298837297731752,0.00274730818741588,0.0506191787268604,0,0.0188090643638955,0,0,0,0.00664372462511744,0.00144752822322192,0.34350038274625,0.0335760376516511
"C20orf85",0.441564056131767,0.00267319758010194,0.0460692118019564,0.00153042371735677,0.79494110694882,0.536409720866675,0.279156404150399,0.655054165789764,0,0.672301194987326,0.417360073282191,0.225331910569231,0.587719310352319,0.62246580675954,0.538152026884724,0.476042878121742,0.000100394529039542,0.301657639099283,0.477910500278299,0.516886956584001,0.507437141008357,0.303432146549969,0.74499169871526,0.14853568972858,0.527142734421089,0.0343417996211697,0.00702877645766911,0.0703716164776704,0.00133789273260637,0.352474777191141,0.268344745992772,0.0519403066866403,0.570955640677596,0.521557906898508,0.00463809610489233,0.000254215864603855,0,0,0.220045407562883,0,0.0577058346987362,0.523878194401901,0.529155009236918,0.00872097113517846,0.265655177993841,0.343312919770422,0.00165773007189516,0.0553861329502308,0,0.018397671318678,0,0.445439828141987,0.401860156842115,0.00632439752457959,0.00174777960256047,0.387862493305693,0.0402406614360993
"C2orf40",0.418467833486599,0.00189025804471647,0.0402601345021788,0.00159255467554682,0.662428250056486,0,0.244713880299288,0,0.672301194987326,0,0.379257359133851,0.190960610206963,0,0,0,0,3.96972031922913e-05,0,0,0,0.470259846944729,0,0,0.134329787339613,0,0.0306647362181891,0.00789340707541868,0.0611670249081279,0.00139745900451197,0.338182116605672,0.249722948583373,0.0458873625555798,0,0,0.00393784224512553,0.000457140915192372,0.000619884130460055,0,0.183746531759233,0.000645193794812868,0.0493582952041297,0.489899451123356,0.508428441123153,0.00783745473875699,0.226870598131141,0.307440454089643,0.00182519331730521,0.0499660181514504,0.00279875592685963,0.0162121505813267,0.00137579700106442,0,0.381454116654716,0.00521269918125665,0.00128114625528175,0,0.0361031334701679
