"","AC013264.2","AGER","AGR3","ANXA3","C11orf88","C11orf97","C12orf75","C1orf194","C20orf85","C2orf40","C5orf49","C9orf116","C9orf24","CAPSL","CATSPERD","CCDC78","CCNL1","CFAP126","DNAAF1","DYNLRB2","EFCAB1","FABP6","FAM183A","FAM229B","FAM92B","FXYD3","GAS6","HOPX","IGF2","LRRC46","LRRIQ1","MALL","MORN5","MS4A8","MT-ND5","NEAT1","NUPR1","OMG","PIFO","PIGR","RNASE1","ROPN1L","RP11-356K23.1","RPS4Y1","RSPH1","RSPH9","RTKN2","S100A14","SFTPC","SFTPD","SLPI","SNTN","TMEM190","TNNC1","UPK3B","ZMYND10","class"
"AC013264.2",0,0.000185872217469845,0.000743054411441136,0.000444306368364995,0.00486496068996475,0.00916249153196771,0.0051471784621143,0.00618742601944919,0.00592368613359824,0.012369052305403,0.00430839381071018,0.00212187165051429,0.00203392690779185,0.00865617605479788,0.0272521383610516,0.0111061876824024,0.0015488381010846,0.00606299556163218,0.00328119330709775,0.00422506483453809,0.00988127180587236,0.00399630815427852,0.000643005887397473,0.0130173272944708,0.00613863769563254,0.000840399711446789,0.00133758282582395,0.00188182695789851,0.000551800057951277,0.00537595829724729,0.00342561192715021,0.00231196001693347,0.0106826721547227,0.00177342137849757,0.00228215001437199,0.0028191851879702,0.00137390355562939,0.0241688107882635,0.00379582807157318,0.00173153966849548,0.00165884936658534,0.0140362874204982,0.00971589993288324,0.0016088056387896,0.00792334238468805,0.00474712280246603,0.000741847761257081,0.000886854793391394,0.000624318632201735,0.000226261427867642,0.0013315554551249,0.00383973802112474,0.00835841408265766,0.00167356521903249,0.00052508169337328,0.00728282794588118,0.000601630299448812
"AGER",0.000362944876673014,0,0.0110992790875453,0.14256983563313,0.00123829089537878,0.000388744820697375,0.00326899174532916,0.000641015461258328,0.000333568595919239,0.000348606139384616,0.000638058158553001,0.0017698721922631,0.000265667411518162,0.00103922931061098,0.00308322088528813,0.000496067769005804,0.0194057341857898,0.000330042929772489,0.000449369069778809,0.000771371066847648,0.000291308680033607,0.000588052788857279,0.000256036861065609,0.00502881921706416,0.000780435068375131,0.0342442759636198,0.113517182748344,0.0177696168910794,0.0100317273017555,0.000850650136362084,0.00149923378302825,0.0352407904661788,0.000859278867478967,0.000827352384020388,0.0135392276517997,0.0113193880563083,0.0196580053183868,0.000593110954543798,0.00286793874313225,0.0190598321350771,0.0119213884128134,0.000212980796786126,0.000240168668969815,0.0231479518128771,0.000941897557705035,0.00098420607099262,0.262458807272348,0.0185208879716068,0.0102454869099765,0.0106005669996917,0.0147034754196748,0.000835482589197022,0.000565412747396442,0.172812728553007,0.156995171022589,0.000785208140899074,0.0287579283066703
"AGR3",0.00544526828728782,0.0125223565597729,0,0.0222646825562371,0.00265101401729289,0.00446650745579478,0.00930744946529117,0.00478485691126604,0.00190309205314497,0.00369698596412915,0.00548045179918789,0.00972550796420524,0.00208961853144157,0.00392435261556847,0.00432214384213755,0.00627486318161195,0.0372944880340667,0.00850244924454521,0.00482084380515463,0.00475615398675457,0.0057184871473496,0.00976154965269637,0.00278181879414464,0.0141407673851393,0.00483680720595501,0.0500341006961775,0.0346149418431447,0.0247607264234176,0.0314095338282542,0.00717001055414985,0.00832365995078274,0.0298251449090391,0.00420771636056553,0.00577996632032559,0.035599198747341,0.0397536898288813,0.0453165799017614,0.00591736730750546,0.0128139532510446,0.0535933523142955,0.0355315718202814,0.00534105299135927,0.00773608787292873,0.0286272878224393,0.00692854611532374,0.00568811419718495,0.00983231873792935,0.032175104613799,0.0323131785013612,0.0360607608935153,0.046229694167388,0.00444666319798557,0.0116648816053754,0.0271397247984127,0.0236434168992668,0.00574905092617856,0.0411880035714198
"ANXA3",0.00270862981648485,0.115173444151952,0.00957201696627311,0,0.000152412076145178,0.000595177603090383,0.00561237019826782,0.000292101838865023,0.000236912516885768,0.000256864558444205,0.00166328982251791,0.00412771268949192,0.000557529572582831,0.000726546018441493,0.00109969842542158,0.000961875402609461,0.0170850319689388,0.00102667099531804,0.000439501999068014,0.000821951687219727,0.00102593261246928,0.00224681543506259,0.000127859683045689,0.00698956924993673,0.00134121129028457,0.0175014797212372,0.0576695641965795,0.0123406110981133,0.011608337903541,0.000980597685060911,0.00340495508637628,0.0479741807021208,0.00147677157053442,0.00269062019501057,0.0190316821746778,0.0119547102325305,0.0094943908053854,0.000682406305296133,0.00297624662594537,0.00674756706093487,0.0127275138105028,0.000324985866795728,0.000577629194151872,0.0171419644278771,0.00183156388679355,0.000686838917929617,0.115363321388566,0.0149957302526032,0.00950133894657341,0.00631051133843838,0.00944445090117882,0.00380235260624808,0.000713119842594097,0.0746666632772025,0.0850266170474626,0.00144782326512598,0.0175702294335407
"C11orf88",0.065445673761476,0.00121187939069402,0.0039040288628868,0.00144566422475183,0,0.0514714347222485,0.0550296548977533,0.0827235246503626,0.0905427467118727,0.0772579317577011,0.058839216927354,0.0585757610549182,0.0846860368091355,0.0654013565927693,0.0480006046032416,0.0313245875881702,0.00245028864919285,0.0650810682854633,0.0489172979045256,0.0593851650176031,0.0497775505498333,0.0330337626464704,0.0812432965243522,0.0211303431223154,0.0875516552494772,0.00447986627221075,0.00255312339280556,0.0249919705226063,0.00122576676852426,0.0253060377591368,0.0383904085440485,0.00970376646024261,0.077324209752511,0.0395992560975087,0.00287359804446875,0.00201473673711298,0.00194540607097486,0.09350512826742,0.0663283373832927,0.00230928395916075,0.0123581556840117,0.0427277034492926,0.0671385688765426,0.00292060497132788,0.0393178491156321,0.0488204374036396,0.00043637540559425,0.010773011208566,0.00269074278811103,0.00352588524622779,0.00219937256868668,0.0478892606024537,0.0407960533538442,0.00117124489463564,0.000212443181331266,0.0411960210479421,0.00481542230937403
"C11orf97",0.0174731979854706,0.00019050318864055,0.000532365174159903,0.000551880834438269,0.00819081714886788,0,0.0106293509045066,0.0039700290729379,0.0083141558800301,0.00858127181389174,0.0110650191889337,0.016017399756112,0.00996525127876145,0.0324538198726793,0.0144130869054604,0.0331416875029256,0.00145333616385838,0.0102766319542862,0.0179630920253194,0.0226585112462355,0.013948558532493,0.0122753552376278,0.00984505611297751,0.0133825349665556,0.0123984739651686,0.000859135522750719,0.00491010179212732,0.00250001812553835,0.000207942351148235,0.0124434209668119,0.00637953305471059,0.00122004715552407,0.010382693328216,0.0102049595698772,0.00089809840145079,0.000933153494831294,0.00149971576917373,0.00530617553130748,0.00639519344979108,0.00179142978472864,0.00274591745516831,0.0162606393791216,0.0107441269645678,0.00156090578508668,0.0122743088358651,0.0192045574375505,0.000164381898301334,0.00172444156329247,0.00092220525971047,0.00018491044952076,0.000894414466924376,0.019213146426933,0.0373286552085135,0.000234340972984825,0.000213785966757876,0.00733241870073694,0.000843920318170901
"C12orf75",0.00608675609108057,0.0029896858970315,0.00417116053054632,0.0069623508429476,0.0041227854236359,0.00526603650252267,0,0.00217527487816136,0.00360566980847582,0.00393597382402663,0.00489472992509459,0.00266528695697159,0.00275564129526756,0.00678446166282061,0.00661854037436492,0.00360388296441879,0.00761952037984483,0.00360216578862908,0.00895072113537205,0.00626007584914003,0.00400337016655149,0.00445378076798494,0.00364632618397087,0.0060096021360182,0.00366532440803266,0.00466435186588963,0.00755488808684185,0.00756987481590691,0.00784789880366934,0.00660350132167547,0.00660577454741932,0.00621162315594237,0.00406633740237174,0.0156509105908853,0.00901158179292309,0.00492352480381201,0.00477670117279961,0.00386998525865111,0.00465904373118924,0.00397594977456392,0.00551324287018727,0.00506523944881805,0.00384312145591344,0.00684504337618683,0.00421711559204004,0.00833308163135884,0.00183008851896444,0.0155630203679171,0.00320546587813213,0.00215657091038398,0.00299496554115088,0.00949810541792867,0.00512991675263109,0.00551083029866473,0.0030109716290351,0.00628746870223598,0.00413999242485138
"C1orf194",0.0756660479760844,0.00122315011678075,0.0159189295628736,0.00174952057258307,0.10271672699976,0.0388261520376446,0.044025479057722,0,0.0925016872334421,0.0827608570798166,0.0952787667262585,0.0700055989727222,0.101507203888947,0.0889610289063032,0.0585954198469911,0.0517069400575119,0.00238591903957435,0.0597498641633826,0.0646914779320464,0.0863742519353085,0.0512568389138519,0.080326029101516,0.0856829138177834,0.0411778844680121,0.0517458345096202,0.0050886148140693,0.00401599372902639,0.032718743998351,0.00199290641474633,0.0431399505449191,0.0559489341591579,0.0120525016558411,0.0736056863309841,0.0639865882966666,0.00282680987496511,0.00257315773591462,0.00231034323481913,0.0522020973862032,0.0583766094203752,0.00369184034339265,0.0199999415101327,0.0576140137066412,0.0328641248160669,0.00385891558555657,0.0858894500291722,0.0561595346866448,0.000435962702827902,0.0153572524548593,0.00310466889786992,0.00524715740512496,0.00232514636328207,0.0721320345625908,0.0317233374761261,0.00139101624547086,0.000759816547320187,0.0532324077436319,0.0137753062584524
"C20orf85",0.0831853606697291,0.00180031529631564,0.010509114897533,0.00219940310358817,0.0992242171078525,0.0843371737658251,0.0880594260301868,0.0999123026080358,0,0.10758408896551,0.0853973819871187,0.0895232388206165,0.118237034774661,0.0702882685225986,0.11144351616981,0.0859241057057161,0.00530374698620043,0.0765620115467826,0.106173519131766,0.108690821588961,0.0873317603491861,0.112744162891655,0.11494545098197,0.0523541421223029,0.0965979003935366,0.0069635931206896,0.00298625730709407,0.0362387174400043,0.0026212344384191,0.0907438799493883,0.0758567748958209,0.0191690361348908,0.0602974794166116,0.0913211590684946,0.00330498864821748,0.00414452507190152,0.00219346669797278,0.0472014725000595,0.0950091512691912,0.0021521399427866,0.038155243995226,0.0692894708689569,0.0791487667347715,0.00201501986807056,0.0917769942634598,0.0939113952253327,0.00194292616885467,0.0279129622940548,0.00326698026959278,0.00607413263560789,0.00245722943225836,0.105500653198469,0.0716960098609895,0.00145725592992581,0.000305967166022669,0.0842517018138068,0.00849765254631995
"C2orf40",0.0411578561963945,0.000512567794928771,0.00305585682003811,0.000768735961072519,0.0593621004574578,0.0257906915074394,0.0294411828750622,0.0454091018253562,0.0411602225762495,0,0.041756147540651,0.0313500900013027,0.0394473829418838,0.0240615475368465,0.0208354965006597,0.0417218628831351,0.00227027738998852,0.0266578719534449,0.0238093836929713,0.0289409124575855,0.0320015612680435,0.0323915547829417,0.030954368164591,0.0165862960965874,0.0408971059726964,0.00243781475240811,0.00330304879236933,0.0131628388615157,0.00162806431270779,0.0623900433938605,0.0370058844136646,0.00517511051594169,0.0308507892857027,0.0479642966182617,0.00100513019007185,0.00109230840352274,0.0016306428344113,0.0151660164033854,0.0377374485193201,0.00183015095575496,0.00795578920473984,0.0438528502544998,0.0729778129839661,0.00290763115377898,0.0378097474232951,0.0245761097695388,0.000326011621803325,0.00711747595200665,0.00148246625126754,0.00146286612098379,0.0023400317773315,0.0310985853355921,0.0291319657181868,0.000624305021003922,0.000187763191747093,0.0268212725934404,0.00245431730081333
