"","ABCA3","AGR2","ALDH1A1","ANXA2","ANXA3","APOE","AQP1","ATP11A","C11orf88","C11orf96","C16orf89","C19orf33","C2","C4BPA","CACNA2D2","CAPS","CAV1","CAV2","CCL18","CFI","CHST9","CLDN18","CLDN3","CSF3R","CYBA","CYP4B1","DLC1","DMBT1","DNAJA4","DRAM1","EMP2","ETV1","FABP5","FAM183A","FGG","GPRC5A","GSTA1","HHIP","IGFBP2","IL32","KRT19","LAMP3","LMO7","LPCAT1","LRRK2","LTF","MARCKS","MCCC1","MFSD2A","MUC4","MYL9","NAPSA","NFIB","NNMT","NRGN","NTM","NUCB2","ODF2L","PEBP4","PERP","PGC","PIGR","PLA2G1B","PLAC8","PLPP2","RASGRF1","RTKN2","SCD","SCEL","SFTA2","SFTPA1","SFTPA2","SFTPC","SFTPD","SLC22A31","SLC39A8","SOX4","SPOCK2","TIMP3","TSPAN1","TSPAN13","VEGFA","WIF1","ZDHHC3","class"
"ABCA3",0,0.000700046878077697,0.0178597456174717,0.0463584924190387,0.0439972649925196,0.00122964048187159,0.0372474719654785,0.0588942764328847,0.0386541901434815,0.0929997698234038,0,0.0230755616730576,0.0682246307357957,0,0.0847312517701165,0.0305129474190989,0.0187722524199887,0.0275526532690542,0.00200981013190723,0.00913774028584119,0.0545628207266936,0.0182431656050391,0.00604931113309712,0.0641620200581816,0.0259016639425274,0,0.0437525399337501,0.0866227953496184,0,0.0817763890795983,0.00362483643180524,0.0551003488165999,0,0.0338681282496227,0.0953337468328048,0.0205274507896627,0.0365256212081524,0.103401809572832,0.0642668753756804,0.0188903022491677,0.0124033127611979,0.186728774119122,0.000386842354183838,0.13339482016486,0.108151821175723,8.21180226562308e-05,0.0367022974189715,0.0148833326006914,0.114378583978713,0,0.00817303933065559,0.116804505706333,0.00285066835829572,0.0696046784325242,0.0645185266370558,0.0325792381082007,0.0069185919299358,0.0258316973116573,0,0.0111206994354146,0,0.0301832572743278,0.055856012562262,0.0826376970361855,0.0285128533120288,0.043149319306742,0.0198179640137475,0.125670241532414,0.0228101289046771,0,0.155047181404141,0.163090378449566,0,0,0.0636348834561518,0.0590028750919423,0,0.0425453301006121,0,0.0483812813781232,0.000516898787272082,0.00116080033359406,0,0.0153034841041909,0
"AGR2",0.000700046878077697,0,0.00717848329466454,0.00392580188754518,0.00807611216559578,0.00270885026810228,3.46668351519591e-05,6.48548801843223e-05,0.00831632304574104,0.000280345080850128,0.0146107432759678,0.00876099277790749,0.0047879616020126,0.0038920869143585,0.000610622546799435,0.0021725044546394,0.0116861167557997,0.0151386689613573,0.00579724978752219,0.00330753963313042,0.0164862397800638,0.00545871677555734,0.0126080639654366,0.000307408844369258,0.00388661495407816,3.02989895693959e-08,0.00945227364357672,0.0312964144652763,0.00701043160046199,1.8463398254019e-05,0.00206152641423449,0.000183473556575058,0.0121336613202538,0.00572113131941041,0.0102180954186982,0.012350326291888,0.0200121298340352,0.00304874847826994,0.00188796287569628,0.0061252812317766,0.00042564340423127,0.00351309007727159,0.0131448855542207,0.000926435201610483,0.000134137051000778,0.00579243653627713,0.00037475226365886,0.00258769141983563,0.0114306542442446,0.0104426206816135,0.00615934842178279,0.00851298826775201,0.000437259140468636,0.0105575749757088,0.0110522338155926,0.0227474277552011,0.0501154915873249,0.000377270194678344,0.00399216976775726,0.0022060568199573,0.0133858617042435,0.0289186946309661,0.00866409395760706,0.000167347405219771,0.00658566057757401,1.84937495707757e-05,0.029372963513073,0.000373563365247387,0.0237361000827787,0.00381192599620902,0.00603375927169626,0.00680735239394644,0.0117026050457268,0.0111118748671739,0.00224929993798127,0.00491699395281845,0.000174872701729705,0.036562717268492,0.0124790499288716,0.0107472472107829,0.00030401475302998,0.0213868715354064,0.000401564966686908,0.000947001797284957,0.000470975230402104
"ALDH1A1",0.0178597456174717,0.00717848329466454,0,0.00858832269309981,0.00110649326476642,4.64479508104086e-05,0.0129070903686743,0.0103852265183536,0.0366384583178069,0.00530255451548816,0.000309727459208248,0.00168955592241151,0.00452558315561666,0.00705254288995132,0.00887619993858895,0.0280199349753481,2.13352390757225e-05,0.000659988609030117,0.00185010855005759,0.000350791072008319,0.0556086859781309,0.0095322601402077,0.0125239605108126,0.00285115687472705,0.0250595583334112,0.0115508116967783,0.0151564090706452,0.014142750929187,0.0257811357706552,0.00422001764653652,0.000483510181448637,0.00337735910905685,0.00171681620340622,0.0301038397102803,0.00462786870041397,0.000255581293831195,0.0233583958988842,0.00897921626686035,0.0357655607305425,0.00262137991082515,0.00111906679295581,0.00308877312324657,0.00113808234223189,0.0135016327745957,0.00538394725548859,0.00352389034787439,0.029213510775449,0.000122427784805388,0.0124023452267272,0.0272630944800886,0.000436105487519474,0.00897500584865409,0.00963601658230297,0.00394098562123842,0.00532305654261689,8.1555916749263e-05,0.0118334324724841,0.0156618584997368,0,0.00984540391202393,0.00109797735436385,0.00479784619108874,0.0023505645310756,0.0232086943878061,0.0281982572364679,0.00696795739240843,0.00559555362576183,0.00278597858366438,0.00519092233592959,0,0.00764955129718842,0.00811011821632358,0,0.00596611756746056,0.0105089816597325,0.00971639389830176,0.00169390165536857,3.72831165938493e-05,0.00247159355139102,0.0117449025890701,0.00167289740154402,0.000337793967743777,0.00287483113755511,0.00731345263354397,0.00728402719497992
"ANXA2",0.0463584924190387,0.00392580188754518,0.00858832269309981,0,0.0629796975742695,0.000542381528720908,0.00448257681594302,0.0046701474761243,0.0170157866679039,0.0438306618823774,0,0.0533511954910379,0,0,0.024579714974975,0.0157954910281788,0.042335932854108,0.0224883158244683,0.00021325106351478,0.00303974363239806,0.0262289269829774,6.99131847006247e-05,0.00307271535745975,0.0223176633584765,0.0234709531573084,0.0579329957091973,0,0.0270385403337449,0,0.0482899203305331,0.0108960000149129,0.0425646768048863,0.036226735343251,0.0181485821199988,0.0396835297346687,0.0205327935918648,0,0.0483462995102412,0.0442302581151185,0.014708009891258,0.0531392294595031,0.0571612222994046,0.0129089082863926,0,0.0496576497736888,1.14479907947239e-07,0.0271835407773717,0.00852101364617293,0.0596148769327178,0,0.0401402652311166,0.0478999343187446,0.00285841461353297,0,0.0283753605252316,0.0657440530022303,0.000145522463099662,0.0173646843446199,0.0481424794993728,0.0222492179379583,0.0387037707279159,0,0.0340324805353375,0.0666151392948895,0,0.0314576322969756,0.0393708389937332,0,0.037307740987785,0.043183643058165,0.0819786750977172,0.081249458025052,0.078211686012912,0.0456801869089587,0.021092008282389,0.0109804114204625,0,0.059973894992004,0,0,0.0115740271585916,0.009574601123283,0,0.0271615345368772,0
"ANXA3",0.0439972649925196,0.00807611216559578,0.00110649326476642,0.0629796975742695,0,9.14774697785715e-05,0.000331770736667781,0.00476174551523029,1.63337192353709e-05,0.0207006829933789,0,0.0610163884061725,0.0245097886996586,0,0,9.04231330027353e-05,0.0393261416911616,0.0366769753191793,0.000589796631415612,0.000783584350768758,0,0.00296977830911639,0.00449241632005843,0.011845442972602,0.00318776422594016,0.0590898677114513,0,0.0155954424564154,0.00578183022112786,0.0257021320320933,0.0183604856522134,0.0206614165264567,0.018513027977935,0.000294538966333954,0.0312457467940747,0.0422141078543752,0.00300423177676188,0.0316688929663733,0,0.0118331462668378,0.0273131506608337,0.0398430533402519,0.029104171186255,0.0200467155654872,0.0411183210830382,4.33692680557504e-05,0,4.15883038649961e-08,0.0244531501582669,0,0.0445522373274632,0.0519862455251976,1.34799313943236e-05,0.0295333693523877,0.0126577231343309,0.0726197085938662,0.000131062739554901,0.00480589655701519,0,0.00951977235585459,0.0246029368589127,0.018973680899984,0,0.0291074588680592,0,0.016761905500683,0.0643673249838754,0.0229380828524671,0.0528690888476441,0.0231940049780027,0.0659583648935461,0.0619627206452723,0.0528024030276304,0.0268247675644817,0.0115146973218379,5.10031998675064e-05,0.0244859324328798,0.0596020033645832,0.0343913890098307,0,0.0174838080939148,0.0339399770582636,0,0.00950781858351277,0
"APOE",0.00122964048187159,0.00270885026810228,4.64479508104086e-05,0.000542381528720908,9.14774697785715e-05,0,0.00183996309053626,0.00260187455631712,0.00740430386876923,0.000140615629540455,0.00985755220285651,0.00607746138942004,7.09987381224958e-05,0.00138651982958462,0.00639758197277313,0.000845299209097076,0.00341363015100647,0.000105188509112134,0.082050825056284,7.82589810329372e-05,0.00548675104100542,0.00688408887144626,0.00017017021075596,0.000797627120863693,0.000283345187211503,0.000394376297680484,0.0109365038243811,0.000226047321970668,3.77004761700061e-05,0.00206151127638743,0.00718209682384977,1.02491844305241e-05,0.00824643338402721,0.0101612136447189,0.00105886602226961,0.000351417460546504,0.000162185961148274,0.0110870540566164,0.00124200163282997,0.000131090456619854,0.000468108997880171,0.00989562880527772,0.0069775051053289,0.000468004296822791,0.000320323744992311,0,2.41899667212764e-05,0.00126995889871693,0.00242077444315907,8.42079297183243e-05,2.43734898374655e-05,0.0062544565741845,0.000427372437380173,4.78224292245371e-06,4.79594376902757e-05,0.000261478011677397,0.00335978481133523,6.5413790226319e-06,0.000210304634445758,0.00383545556156678,0.0187462961290576,0.0126689420164781,0.00736191784783191,0.00758764407349921,1.36805762744917e-05,0.000444144082952226,0.000751720202920338,0.000243229506450203,0.00383268437410522,0.00468971442924385,0.0119210283993384,0.010081458269316,0.0146680524226134,0.00512742081128575,7.07423017501372e-05,0.000626947543688803,0.00175470819759049,0.000178127938066869,0.00429749648367396,0.0039771111891805,0.00145827704291812,0.000459417121062053,0,0,0.130371609394404
"AQP1",0.0372474719654785,3.46668351519591e-05,0.0129070903686743,0.00448257681594302,0.000331770736667781,0.00183996309053626,0,0.0465969288676378,0.0346422830731798,0.0428132832377531,0.0134386639277181,0.00175085301084606,0.0228414483723965,0.0342540607503931,0.0240023200959651,0.0170087856994442,0.000160358453148796,1.76535775703104e-05,3.96629736051202e-07,0.00490187169399354,0.0425698038632075,0.0124100720136454,0.0012955251381049,0.0037499163983236,0.0076301973719525,0.000111711232756643,0.020033171852237,0.0249697653028256,0.0164038327867991,0.0338510394475091,0.000322289368897074,0.0364438458862635,0.000974719936257328,0.0341338838392552,0.00573945382070333,0.000427557053937439,0.035587148980865,0.0274409997090035,0.0323232276782115,3.23575607656302e-05,1.3579355871002e-05,0.0341380537954361,0.00383289223000508,0.0338186710659542,0.0164215887487998,0.00191109848433494,0.0244027051717213,0.00635741968845976,0.0200941971052892,0.0242066953972861,0.000447063487103994,0.0135030738124819,0.000405342326756895,0.0196827633527979,0.0146470417804929,0.00172657175606993,0.00237235311623152,0.00946694544772112,0.0168713940959705,0.0118779111100792,0.0289679884924322,0.00350158639892999,0.0155233041397766,0.0334348152340697,0.021053924003862,0.028008971916561,0.000226872708349259,0.00912062753749139,0.00874311090950855,0.0057378553330016,0.00781720668083638,0.0071656350874242,0.00230607572508348,0.00982368338114024,0.0257839117641281,0.0112460254727262,0.010137770816876,0.00197756236834045,0.00261072604394135,0.0147107855308891,0.00718409058109909,0.00402780031517695,0.0388151616090425,0.00702352397596444,2.57055511822796e-08
"ATP11A",0.0588942764328847,6.48548801843223e-05,0.0103852265183536,0.0046701474761243,0.00476174551523029,0.00260187455631712,0.0465969288676378,0,0.0330039779767497,0.0444484076140999,0.0164292987752689,0.00124874085347325,0.0288345583138347,0.0552880295076367,0.0423228655580727,0.0104143296565891,0.0052586237528673,0.00125563268283106,0.000388962370114599,0.00309392337935231,0.04387282282624,0.000922982184239548,0.00372600623219769,0.0312357520251368,0.00591292121468527,0.0114007266804884,0.0257409239868131,0.0524762273973047,0.0115895889120831,0.025066875628348,0.00145621609047673,0.0324652746368065,0,0.0324881539036085,0.0137807656395841,0.000286087254033749,0.0251917982016395,0.0536323090727707,0.0297995009758271,0.00442746899483712,0.00141086121953316,0.0542724191137299,0.00184057798571341,0.0594553537465247,0.0415718457233858,0.00211457929578418,0.0290352284552626,0.00656324896077231,0.052635246652129,0.0181399414361807,0.000505922247230814,0.0413965580722993,0.000212098788790842,0.0103336521862393,0.0256991712480231,0.00657290068784514,0.00279163090492631,0.00821027678610533,0.0181836566427067,0.00561359510162072,0.0292654183244602,0.0116443294018361,0.014487915736879,0.0379237378153966,0.0230247797801741,0.030500004696981,0.00477039632916529,0.0426458793531093,0.000222270575968683,0.0112963471873501,0.0381563140044695,0.0365691374300022,0.0174652989692242,0.0223874586515307,0.0257263973761735,0.0127968377039317,0,0.00429499857462192,6.55240559911723e-05,0.0100929648403877,6.25009454523481e-06,0.000355202811315031,0.0317856355976102,0.00929714932367699,0.00012000118006281
"C11orf88",0.0386541901434815,0.00831632304574104,0.0366384583178069,0.0170157866679039,1.63337192353709e-05,0.00740430386876923,0.0346422830731798,0.0330039779767497,0,0.0364643439155564,0.0384613602186744,2.64353429007874e-05,0.0321789086101073,0.0436108633972764,0.028221026171482,0.183036085051878,0.000136655050578836,1.11776086791809e-06,0.00234256713476981,0.00752662030294408,0.475711867000923,0.0404425550877958,0.0492421232734821,0.0271844269617999,0.0292884450440143,0.0380177789297992,0.0338628644055844,0.0240208248367627,0.114545199004275,0.0347837980029288,1.96774140768161e-05,0.0285435011313595,0.0250429830645721,0.75218636039471,0.0291613642536925,0.00294106026922526,0.0645464750963439,0.0322802363164433,0.344507623604793,0.000592131033759834,0.00138500965474257,0.0414628408964979,0.000649234641538028,0.0450085715145569,0,0.00239455619266506,0.155326310388864,0.00365948732857595,0.0371300672708022,0.0930556258231278,0.00120184860767904,0,0.0207798562040935,0.0355689260470737,0.0308855184847247,0,0.0503710734910075,0.0482428404571245,0.0415074651461327,0.024452690254303,0.0322046306931375,0.000230581053451153,0.0290458432207814,0,0.134271627742423,0.0241002433655681,0,0.0358816679444726,0.00311437436559697,0.0471533247469125,0,0,0,0,0.0293477666787266,0.0423685158363573,0.0347872148920565,0,0.0052014577768175,0.105826092898836,0.0140614370129011,0.00341056944638967,0.0189177970839249,0.0268630302840702,0.00406897673687394
"C11orf96",0.0929997698234038,0.000280345080850128,0.00530255451548816,0.0438306618823774,0.0207006829933789,0.000140615629540455,0.0428132832377531,0.0444484076140999,0.0364643439155564,0,0.0389529592238087,0.00856004099355307,0.0403386667086291,0,0.0570620854911899,0.0209540677531183,0.0196380151699531,0.0144601830718386,0.000204963027929284,0.00483008361627554,0.0456986753616895,0.00283680069002618,0.00611856353857612,0.0672906020031395,0.0137394577435341,0.0265010943646822,0.0203977803529087,0.07735560875714,0,0.0463374045377657,0.00388018592883118,0.0465435828553786,0,0.0346865229964071,0,0.00457286286609789,0.0230016842402652,0.0947522772540451,0.0509632414521581,0.00746590692861101,0.0203103266048092,0.085800879728272,0.00663774731301009,0,0,0.00312424505732602,0.0292067379367619,0.0115317317279896,0.061623776054239,0.0150066749477656,0.00909529757928942,0,0.000166760242106714,0.0728255945096034,0.0588252602359941,0.0331072543925375,0.00528504739497155,0.0150612726112792,0.0359355681628948,0.00982144886786773,0.0566042064859631,0.0125342170965798,0.0357344056027719,0.0637405153641369,0,0.0547367707717826,0.0154223958481596,0,0.00954628880477395,0,0.0580303747384238,0.0595901804193134,0,0,0.0431491066275758,0.0107890628402787,0,0.0349824676190604,0,0.0193455102893803,5.0454357391107e-05,0.00814309715273163,0,0.0224894546104786,0
