"","ABCA3","AGR2","ALDH1A1","ANXA2","ANXA3","APOE","AQP1","ATP11A","C11orf88","C11orf96","C16orf89","C19orf33","C2","C4BPA","CACNA2D2","CAPS","CAV1","CAV2","CCL18","CFI","CHST9","CLDN18","CLDN3","CSF3R","CYBA","CYP4B1","DLC1","DMBT1","DNAJA4","DRAM1","EMP2","ETV1","FABP5","FAM183A","FGG","GPRC5A","GSTA1","HHIP","IGFBP2","IL32","KRT19","LAMP3","LMO7","LPCAT1","LRRK2","LTF","MARCKS","MCCC1","MFSD2A","MUC4","MYL9","NAPSA","NFIB","NNMT","NRGN","NTM","NUCB2","ODF2L","PEBP4","PERP","PGC","PIGR","PLA2G1B","PLAC8","PLPP2","RASGRF1","RTKN2","SCD","SCEL","SFTA2","SFTPA1","SFTPA2","SFTPC","SFTPD","SLC22A31","SLC39A8","SOX4","SPOCK2","TIMP3","TSPAN1","TSPAN13","VEGFA","WIF1","ZDHHC3","class"
"ABCA3",0,0.00955417593076474,0.0155205715411068,0.0203445580497229,0.00950753381722294,0.0111721416890351,0.044952014258104,0.0542433986470048,0.00190973658200839,0.0650245775916439,0.0395651832915811,0.0112863771731049,0.0512747425986946,0.0350488728548695,0.0480657953967266,0.00573848187621322,0.00563707140726671,0.0121971364922982,0.00617451396203793,0.0275743972150934,0.0063436866293138,0.0197626879224494,0.0117125058478066,0.0638096047401822,0.0146197267054866,0.0156512262591436,0.0418106117338826,0.0404754335674953,0.00516161076606544,0.06937816205669,0.0103634949182289,0.040900258568174,0.0248483396158341,0.00347238379119396,0.0579937636505516,0.0159508159596509,0.0125822131454198,0.0467138536625115,0.00517754003165436,0.0107404356753468,0.0169637089999337,0.100431300618987,0.0153202024867645,0.0906044895550507,0.0654299738893559,0.0073952485710775,0.00758229985733429,0.0271462751003286,0.0473801688964392,0.00700802140677294,0.00969899020357675,0.0577889998423139,0.0163159652708402,0.0520949271200595,0.0448161006266967,0.00340318770560335,0.0171544900012965,0.0199410656447907,0.0268138772169753,0.0164916831559392,0.0372880003077788,0.0202472339593862,0.0276224540241221,0.0168829497074808,0.0052339702590268,0.0219467938985109,0.00223333932990274,0.102579452667731,0.00979630326947743,0.0173772802892843,0.048686462130041,0.0532577229101697,0.0328285020892183,0.0639467737955353,0.0638783237971095,0.0338310845872509,0.0112940641090631,0.0022798003998618,0.00846731961956521,0.0081425221395696,0.0141921348515994,0.0134962483436158,0.0303894717367258,0.0192172964072205,0.00402654790643784
"AGR2",0.0045123238204107,0,0.018111220142619,0.0120971391922706,0.00697135068287341,0.0124858174036891,0.0110455801716767,0.0122187468919174,0.00630282409931064,0.00835320513618924,0.0136234674156263,0.0135452540442785,0.00567240176630309,0.00740374770381927,0.00797235834028563,0.00623232290158528,0.00728667109041076,0.0104995446325279,0.0101778494934806,0.0145625608505598,0.0255510072626446,0.00954476456855577,0.0188843166021064,0.010304973331064,0.0162214454059023,0.00894458000127147,0.0105531991331349,0.0236628699432376,0.0131002717733158,0.0067664321241187,0.0112580321344456,0.00887617872991701,0.00865730441051735,0.00696101136502533,0.00926996073170544,0.0163155837022732,0.0318951253930092,0.00657572722734548,0.0047947032125661,0.011467601052972,0.0132470866530429,0.00461620440033656,0.0120191826251051,0.00914558581477613,0.010906335803187,0.0196082105957799,0.00842275830995452,0.0167683732319478,0.00621091133849227,0.0201156862094472,0.0133112090274014,0.00288094266665249,0.0148702001557579,0.0111951926926404,0.0105719458539437,0.00468986292425052,0.0581496640943232,0.0114472344559493,0.00579318017279432,0.0126338944929899,0.00846614867008398,0.0239167569399777,0.00784925015391668,0.00390855106846745,0.0103929311604186,0.0130786263215151,0.00502612913418863,0.0115322083732365,0.0106112923012296,0.00774945032646553,0.00238012426429157,0.00371405890877921,0.00297434632641636,0.00361367587403167,0.00957921876421728,0.0116667078406019,0.0102613215320832,0.00270890924029957,0.0077522303197686,0.0173799096870596,0.0138622047035588,0.0151644354068916,0.00659103975427322,0.011256176562273,0.00303461239840009
"ALDH1A1",0.00259458358976118,0.00939781421033953,0,0.00847177207308785,0.00427342903836896,0.00974870764200184,0.00688676459980617,0.00564401188054112,0.0048250625296322,0.00406959711494219,0.00580257975297518,0.00943107338237558,0.00434526397544405,0.00349696400028921,0.0123860260583133,0.00510144579102832,0.00451866789718334,0.00656312492975812,0.00632268325403236,0.00748226855402491,0.0172558204157754,0.012184584844812,0.0160764879824599,0.0049863564436898,0.018267889749341,0.00802867796035803,0.00909917597158873,0.00669763525203383,0.0231746458497931,0.00445251951889771,0.0115655722332188,0.00633112305575393,0.00816498064232841,0.00361309144613547,0.00646076692548175,0.00941320767086055,0.0240403148567072,0.00456476633542615,0.00662194582213982,0.00647420477541415,0.0106645061087949,0.00156336037626232,0.00996412966844271,0.00434285259459583,0.00265495285315736,0.00663224470960024,0.00815257452583008,0.00800686418691174,0.00564117650913097,0.0106161375011155,0.00681464639032882,0.00299721398098642,0.0127044334915558,0.00515303052316637,0.00830526459701635,0.00490395710926877,0.00983485238731057,0.00987214176462005,0.0035644851206239,0.00820484070830579,0.00360535417274318,0.0123084236443367,0.0066931585902278,0.0080761366956787,0.00943274555932484,0.00623975720131015,0.00281705016758695,0.0031553426853848,0.00362211236558488,0.00640302150402573,0.00300654290130488,0.00466664649072976,0.00314036473116423,0.00352908155833137,0.00751498729800244,0.00613072280618614,0.00812970493210316,0.00216960230063797,0.00809284630555087,0.00431711304074443,0.00948031746642222,0.00898930674761644,0.00652363011211779,0.0124654878653773,0.00381278660330165
"ANXA2",0.00413118338101988,0.0319244790239029,0.0171562743132165,0,0.0286108215382711,0.0127414493289324,0.00814322208888127,0.00986225503794146,0.00347574605265824,0.009521309076347,0.0193200881466876,0.0354186979431345,0.00862317381812953,0.0154465852559712,0.0102267915532593,0.00569337230620922,0.018728798447545,0.0161512935751926,0.00651294657410811,0.0126499904953446,0.0131947650795373,0.00965848839329669,0.0111966289916652,0.0122309132532882,0.019182521767132,0.0177719511847106,0.00850849457960729,0.0124655851048763,0.00762232097857044,0.00855633381340165,0.0149463899372365,0.0230453421176501,0.0158616010914757,0.00310706420722121,0.0121418748826982,0.0151930971342568,0.00750097628052931,0.0137562064803915,0.00646743048487982,0.0295395582656109,0.0365239374499691,0.00719906749520661,0.0122570826735396,0.00511962493054591,0.00851650224400188,0.00995664504051365,0.0137064792281684,0.0168994931846789,0.0173204817882637,0.00723410506032507,0.0314022619496186,0.00996789439051844,0.0138314758234827,0.0119554525911891,0.0124962367711767,0.0248194531449917,0.0142954803945715,0.0142700448104983,0.0101949567771388,0.0177220626042868,0.0123969519006451,0.0323349856027379,0.0125214106928185,0.00895628828739248,0.0109061966286845,0.0206784205006315,0.0177216250261171,0.00621723820750139,0.0216130213536384,0.00720031444453859,0.0194629826132977,0.0389404382168693,0.0242202876648171,0.00536775409556866,0.0104298125565027,0.00890856731416668,0.0146144515370067,0.0152239212905309,0.011954849191477,0.010608679749953,0.0176703864022446,0.0195349026271944,0.00704997266672369,0.0123466167446059,0.00274113838797168
"ANXA3",0.0024516490475332,0.0113371928569877,0.00398699753942153,0.00946569812767377,0,0.00405308791880959,0.00315898582852929,0.00458490997909117,0.00462058809272482,0.00168068905727672,0.00316080663579242,0.0306495133958051,0.00210159739341727,0.00390107989734693,0.00335891532992216,0.00506760958361693,0.0421825034612003,0.0349465640601479,0.00260403164760699,0.00382232711470012,0.0012906521183556,0.00371191640163854,0.00688136071493133,0.003588762079885,0.00385379595962481,0.0189395057332414,0.00323357042286897,0.00207621223450753,0.0094103965823642,0.00623433444033333,0.0164190428117167,0.00232749574595504,0.00360441595753744,0.00615646684176218,0.00418416033827192,0.0234703490537053,0.00290437749535223,0.00091569124258581,0.00308082511858978,0.0108590310119548,0.0157695181910693,0.00108957997394386,0.0229684021757967,0.00341548518902881,0.00452949124093566,0.00156599888364286,0.00795975517724999,0.00576391805296862,0.00149673677105654,0.00385122737043207,0.0331761247056584,0.00801142890276517,0.00467969149446209,0.00491219157235899,0.00158717175841007,0.0346173839253586,0.00345787359693653,0.00373589100621335,0.00737005129369247,0.00437198645395733,0.00166266519872288,0.00741505479375699,0.00196058534184886,0.00747927021576625,0.00402582563594602,0.00180197477727165,0.0522960348723326,0.00478033543538749,0.045359055356917,0.00370593036082687,0.00821883586915474,0.0166147584680073,0.00583310846709597,0.00466193740953522,0.00351053933767737,0.00759639592420393,0.00930574846797263,0.0483607111889757,0.0247656019674343,0.00461495769075217,0.0163501181225426,0.0372457312156869,0.0013510213964497,0.00492418590317943,0.00264071239053048
"APOE",0.00705336984781172,0.0133337982525449,0.0125725938778582,0.0087994571741051,0.00472651923897778,0,0.00690499108074689,0.00668551973129161,0.00118769581231833,0.00445446594428951,0.00779228609394118,0.0121844580305114,0.00595191975846177,0.01046422063077,0.00882456761757108,0.00371903758719969,0.00538391759194208,0.00533356071391762,0.0763721282714881,0.00887660282407429,0.0026828352383337,0.0122944000805179,0.00822686369068836,0.00500914307968374,0.0183667510174785,0.00586872303589733,0.0187799872569218,0.00597877629052607,0.00542469991863906,0.00506448122773011,0.0124346442150571,0.00544286832600921,0.00921107317391761,0.00187312870141139,0.0107742031839708,0.0109546553203106,0.00977965182634989,0.00503079842275712,0.00368315351662507,0.0080689626387674,0.0109097427127722,0.00593679218001839,0.0204565215663943,0.0154311151595869,0.0041349929701571,0.0356785181417374,0.00973436431377956,0.00812981313152956,0.00491733664197644,0.00581602906248616,0.00618086663648624,0.00706806625937096,0.00876167956483105,0.00844949677423195,0.00698247936545119,0.00269930898942595,0.00766628958965837,0.00887505691212892,0.00573270277897237,0.0126541218741977,0.00833032173228165,0.00938727041365381,0.00878861069557441,0.0110037863302359,0.00598914512046405,0.00568275528326788,0.0018262483279616,0.00521513654300583,0.00791242071975638,0.0056711118730295,0.00385444843652425,0.00216164099701532,0.00600209540345182,0.00412408229906062,0.00609515709350134,0.00719372913088444,0.0121482543343866,0.0030899310391957,0.00597835467242317,0.00972853588826189,0.00739347988352316,0.00917876398168972,0.0173782817491764,0.0168565891270349,0.0579322416440465
"AQP1",0.00537752421045889,0.0100412205534077,0.0135532011950209,0.00774938374226832,0.00623294259779782,0.010695625219783,0,0.017825835727746,0.000531152757617161,0.00867655174731804,0.00424320448501244,0.012808059820614,0.00943042307629864,0.00622046861769949,0.0165878968976909,0.00348883675633307,0.00487782537331523,0.00844474970768224,0.00554325020716362,0.016626654843667,0.000618780241378796,0.0117658050963837,0.0121987166572197,0.0114467391365714,0.0103505589012503,0.0134114859608712,0.00957376942521563,0.009132859343247,0.00474073367224267,0.00611672218127589,0.0085805642512988,0.0131289778105347,0.0156654749425154,0.000577987031137325,0.00989281840366295,0.00980818893827918,0.00952046965386554,0.00722461163133485,0.00162777305162754,0.0121388788287276,0.0152944373989301,0.00305760191488523,0.013940999042247,0.00477928270563483,0.00351694692833559,0.00792259527212411,0.00181958467481361,0.0145282143740023,0.00897032163968975,0.00336717153123826,0.00948902826320481,0.00145457315150994,0.0148842348803022,0.00588180261181228,0.0099693031287269,0.00414410429274212,0.00955646612498704,0.00826294787589196,0.0130777095644036,0.0169229861735644,0.00598167999631679,0.00752460798289796,0.00801536297097491,0.00217836561135066,0.00471591944851024,0.0119265342394169,0.00377822805150146,0.00504431622061804,0.012325744338192,0.00335453326496106,0.00154321472775844,0.00128063493529435,0.00336401104393245,0.00439328864850107,0.0110125204796947,0.012899911396753,0.0115367640429249,0.00838359073239762,0.0106334857728695,0.00492091973352102,0.0105173176070077,0.0145339512278398,0.0118738935240217,0.00766965128756326,0.00286258126180593
"ATP11A",0.00905986080459866,0.00962453485261933,0.0130519602413606,0.0102359408188931,0.00587854173384545,0.0112002307308759,0.0264041968987341,0,0.000620770347926695,0.0121548617892346,0.00587273867725685,0.0114965974504468,0.0072354168479133,0.00885030578586265,0.012258673473995,0.00589572412152097,0.00604494158501098,0.00848700343533227,0.00763810819262107,0.0144379007335378,0.00246078610156911,0.0107539858496632,0.0105268363649129,0.0131660004509725,0.0133912653522127,0.00665584425459841,0.0112107455207101,0.0175592090135244,0.0038803512517034,0.0100103196440176,0.0105192301521091,0.00874661542515061,0.0070089140753958,0.00130942625089498,0.00941069393669801,0.0127843478223562,0.00799128670063644,0.00740943023784856,0.0020595197771806,0.0106713377866461,0.00980990790530242,0.00434272148833526,0.0176917737775016,0.0256581688294274,0.00557939017116449,0.00800497079664194,0.00396269384671682,0.0216847083482225,0.0117224789971344,0.00652974047610613,0.00809434867615337,0.00478146312116476,0.0138952711740309,0.00876882168029708,0.0105119281095963,0.00334983403703072,0.0113777122128593,0.0138270022981548,0.0121227378829374,0.0175644390101561,0.00602342558379187,0.00841970589741588,0.00561960291838857,0.00246030739031252,0.00618890894802117,0.0103895579468473,0.00213320640103445,0.00816383172500729,0.00783545314846765,0.00976645687656958,0.00138988309063289,0.0017548360587508,0.00310885485965287,0.00312900361925259,0.0115755006605027,0.00741370696261765,0.0128683638934857,0.00321449084207838,0.00765817952982548,0.00687681901312742,0.0312487626222675,0.0121167855608045,0.0067007795510733,0.00781410148310008,0.00392139750626708
"C11orf88",0.000588178294590106,0.00211684478786897,0.00514420617718353,0.000597156715316076,0.00115203253591339,0.000984413679732704,0.000209973068233507,0.000800112719769301,0,7.01246107855292e-05,0.00366551301529432,0.00211692762966303,3.04932247261136e-05,0.0016343841972643,2.24099261246921e-06,0.105295828119167,0.000502413810104001,0.000569356183742476,0.00022611069281961,0.000228934345621252,0.0921267739570977,0.00552946533848359,0.0295277027419593,6.35862268786096e-05,0.00290965011240869,0.00271841190721245,0.000924773134094395,4.3252086401457e-05,0.0523539605732319,4.70137635536367e-05,0.0018249789793227,1.50813513717298e-05,0.00501836149109859,0.196564393063939,3.59555869343519e-06,0.00959672330758498,0.0060074611062681,1.47507031171484e-06,0.103240920368847,0.000975919074311056,0.00182842144971093,0.00031585506912794,0.000883824073670757,0.00134591801473715,0.000338843172993959,0.00013651017033357,0.0360494339667082,0.000377819151238072,9.91823271748612e-05,0.0192479395585968,0.000710693631939072,0.00268810685694675,0.00251323320301313,0.000601035765700461,0.0011333599848054,0.000327200696417174,0.018264579693726,0.01460343361898,0.0014731585595738,0.00105879707806642,1.79668507517636e-05,0.00218279978724077,0.00016542589990798,0.0151982575653929,0.0632029275786809,9.63856556900735e-06,0.00015940935490483,0.000136335293957702,4.02888172955275e-05,0.014031714983119,0.00247415356939666,0.00137761950119376,0.000836542757463585,0.00662508213833105,0.000261285765012418,0.0126157574484459,0.00239543761731133,0.000624500578432889,0.000113285554035562,0.0535501785852493,0.00268932085387504,0.00109961735638183,0.000898580136958498,0.000194229076916536,0.00050974887136692
"C11orf96",0.0142797823800061,0.00841886667837928,0.0108098903814351,0.0123401011331522,0.00515726125973314,0.0108909344693314,0.0209120341023381,0.015307028810321,4.5024236144468e-05,0,0.0165341430015639,0.0139810982935263,0.0164880136789434,0.00783312411904661,0.0282550090313105,0.00394479869405558,0.00588709860684745,0.00804768501993378,0.00577052786357338,0.014938000817496,0.00054771691653015,0.00801108702771417,0.0103165780195065,0.0305996955039464,0.0085666794826749,0.00621226229935389,0.0129385827750741,0.0246176614932655,0.00521280202746535,0.0183817197623771,0.00883019272455636,0.01882305217075,0.0064904234959701,0.000811717803776096,0.0201386765908355,0.00986175301458785,0.0033164005594873,0.0405104849355167,0.00177372376878995,0.00704180911922507,0.0140692081353235,0.0330962320365269,0.00959251212984285,0.00329749401694195,0.0118791684401661,0.00710366878800491,0.00306367067705884,0.0159916417478399,0.0173193151083457,0.0030187081419464,0.00827490618975773,0.00306070026734156,0.0135994203280932,0.0381467919361157,0.0304665782834192,0.00145405102993527,0.0113944461045668,0.00960046777709704,0.0105730746191349,0.0101159998777207,0.0148576563259357,0.00789687658590042,0.00887573836221063,0.00224994248019959,0.00703065497086019,0.02588093734696,0.00158183327170162,0.0112297201002872,0.0039729530949443,0.00412802689537489,0.0101557579941789,0.00935581669348486,0.00629621608441797,0.00514988370158578,0.030640673497717,0.00609967281002296,0.00888317596628275,0.000599470738265843,0.00797212898838318,0.00408810648148444,0.0106952774129927,0.0108008150277268,0.00782130885095673,0.0119465530138731,0.00443293163255521
