"","AC013264.2","AGER","BPIFB1","C11orf88","C11orf97","C12orf75","C1orf194","C20orf85","C2orf40","C5orf49","C8orf4","C9orf116","C9orf24","CAPSL","CAV2","CCDC146","CCDC170","CCDC78","CEACAM6","CFAP126","CLIC5","CXCL17","DNAAF1","DYNLRB2","FABP6","FAM183A","FAM216B","FAM92B","GGTLC1","HOPX","ITLN2","LDLRAD1","LRRIQ1","MDK","MORN5","MS4A8","MYL9","PIFO","PIGR","RNASE1","ROPN1L","RPS4Y1","RSPH1","RTKN2","S100A14","SCGB1A1","SFTA2","SFTPC","SNTN","SPOCK2","TFPI","TMEM190","TNNC1","UPK3B","ZMYND10","class"
"AC013264.2",0,0.00304519658747688,0.0104654029051474,0,0.441687404469893,0,0,0.488420304689921,0,0,0.0328419782777395,0,0,0,0.00259173659726009,0,0,0,0.0197355130688165,0,0.00017479856629196,0.020818268015633,0,0,0.126191975506812,0,0.448809486225603,0.490446299343115,0.00415448724193428,0.0481074384402616,0.00105867033601511,0,0,0.00886926386557854,0,0,0.00201199025181046,0,0.00127702451762964,0.0443419604661231,0,0.0072291138161235,0,0.00167724728756325,0.037800492782695,0.030007594459217,0.0504470136428203,0,0,0.000308416018667076,0.0151770167583086,0,0.0020504659848007,0.000138265687713951,0,0.0427370002440604
"AGER",0.00304519658747688,0,0.0011502643157348,0.00374865107803878,0.00348345164808011,0.00264711426844806,0.00447948734859282,0.00414985588345796,0.00369341136626821,0.00519422354492124,0.00852353456338877,0.006180422914764,0.00450058771248323,0.00409245205731173,0.0523518239312179,0.00381998737040651,0.00542729330808867,0.00405838983231166,0.000103931788152031,0.00477920340630707,0.0741429424912586,0.012264417531041,0.00369112410529529,0.00318260524185708,0.00912712813355346,0.00388633998395028,0.00325445876094057,0.00356836684221269,0.0177942985181678,0.0283709835969044,0.111034693465869,0.00354576014601933,0.00292193010491257,0.0253084384809318,0.00376803957242532,0.00420638046079807,0.0613641499930032,0.00216748059595013,0.00738417049485425,0.0342446859421672,0.00351341974113925,0.00237287085396979,0.00515190272352399,0.146817049111283,2.99774806914988e-05,0.00232244644826564,0.0197679025083464,0.0102122710418747,0.00374432666807384,0,0.0153713264059661,0.0021145703105872,0.1016697598886,0.0690432717550681,0.00314379945067316,0.0196097142826614
"BPIFB1",0.0104654029051474,0.0011502643157348,0,0.0137918540990808,0.0120334881421918,0.00654656379079454,0.0125321744380301,0.0121909192272443,0.0127577908463977,0.00805416630895272,0.00707839682374905,0.00750275331339137,0.013094823903686,0.0107366314571917,4.24981904259232e-06,0.0136400040822375,0.00897743266584853,0.0136307396127965,4.93597349409049e-05,0.00776258951378916,0.000138511498914334,0.00165078499673072,0.0119873590384921,0.00875524232710187,0.0033901885066775,0.0104049999388012,0.0122614980913278,0.0116735609770991,0.0026831770859644,0.0212502192613186,0.00035583065504085,0.0120062193908469,0.00894822172195602,0.00447030552379515,0.0116491423336284,0.0253612488345609,0.00171304338033043,0.00343545319299306,0.00998315763046357,0.000736520111367651,0.0123997391821709,0.000514722460093143,0.00650889954570806,0.000452880927526943,0.00134524367728189,0.0372282035636181,0.0194728087421353,0.000101729560182024,0.0112740997947341,2.74094964931572e-05,0.00755784120081916,0.0126634731263453,0.000938483432871976,0.000146834003026687,0.00864177097522769,0.0189282554406603
"C11orf88",0,0.00374865107803878,0.0137918540990808,0,0.529855951230553,0.21596155707332,0,0.696977828517797,0,0.332192049789558,0.040255971739668,0.258276396437006,0,0.568696143402472,0.00381769199256497,0.314701127927089,0.357221110132129,0.532603664315417,0.0249358122469959,0.414766592617221,3.37484987320235e-06,0.0283278854630801,0.528888290756254,0.407916488414892,0.155108849858964,0.529162150980858,0.573789522158443,0,0.00705944905826279,0.0635257773191963,0.00109821979867578,0,0.354513553458199,0.0103441196957455,0.588034652716143,0.53439347470604,0.00218556131813836,0.219593915562042,0,0.0528198854353473,0.578689316095359,0.00978502743076284,0.352847112303836,0.00219007919740565,0.0449239960239182,0.0407798748347271,0.0630909405339101,0,0,0.00105169973634711,0.0193432826999382,0.33395721342449,0.00272642227869873,0.000188276307133591,0.36523186079709,0.0535728617715555
"C11orf97",0.441687404469893,0.00348345164808011,0.0120334881421918,0.529855951230553,0,0.192456788354164,0,0.552554453408586,0,0,0.0352616608968337,0.214822167701743,0,0,0.00302465482987706,0.279935166054428,0.320878769654427,0,0.019897193241511,0,7.47085475199054e-05,0.0246955528504487,0,0,0.145433630796172,0,0.537260962934168,0,0.00561549056273305,0.0521766838188907,0.00088276892269083,0,0,0.00919444234521563,0,0,0.00190316929244815,0.187142337103005,0.00162514804171115,0.0451583105504768,0.516486647930895,0.00748495819619414,0,0.00155820390886237,0.0397946713534273,0.0324726612772442,0.0546963306296395,0,0.503113127265488,0.000696960730477047,0.016376557578414,0,0.00176886393748089,0.000200596261175502,0,0.0433742890437056
"C12orf75",0,0.00264711426844806,0.00654656379079454,0.21596155707332,0.192456788354164,0,0.231065009596327,0.223043822262202,0.195744898614874,0.192271589090571,0.0240216041087804,0,0.235091252208611,0.21904715435375,0.000620313348161017,0,0,0.195702079261764,0.00507085601816453,0.214941018914809,0.00103475570536653,0.0254005062208405,0,0,0,0.210890762195651,0.198758811758299,0.201574322307902,3.53450053425567e-05,0.0631985180454776,0.00154575049451621,0,0.201791652672253,0,0.203509768353057,0,0.0016751329518583,0,0.0038737827695854,0.0430443128897012,0.206775171297482,0.0136489753106706,0,0.00089714488627636,0.0359513280169255,0.0184370456049848,0.0532069072876597,0,0.192438672706557,0.00126895967047276,0.0172621381642241,0,1.07194671932365e-05,0.000311495547873878,0.197945158039554,0
"C1orf194",0,0.00447948734859282,0.0125321744380301,0,0,0.231065009596327,0,0.67964605600496,0,0.341895079630016,0.0435958138332717,0.256178013056383,0.554254613913597,0.536168141336212,0.00402206360026036,0.293046544789968,0.33141926362037,0,0.0229283929512428,0.42339721692719,6.30261701958729e-05,0.0282227606559444,0.511021191854097,0.401015236920411,0.161722661793726,0.518999026171474,0,0,0.0050913270455685,0.0679709866537621,0.000965058464574171,0,0.372798982618127,0,0.551055942669631,0,0.0026789120462176,0.228478336665009,0,0.0552636919680008,0.546256433106103,0.0105906199426042,0.354065934667914,0.00172570691465263,0.0490599726395252,0.0414679501162324,0.0668879149613351,0,0,0.000427259706998649,0.0220983593892952,0,0.00236909803092303,0.00033510351917789,0.386964546428232,0.0538520540804127
"C20orf85",0.488420304689921,0.00414985588345796,0.0121909192272443,0.696977828517797,0.552554453408586,0.223043822262202,0.67964605600496,0,0.614559389191062,0.30751839639139,0.0474568445716464,0.243031382743613,0.595524232967088,0.532265200451669,0.00411150313748454,0.32966234389613,0.344287756779734,0.562845779766863,0.0247655162763403,0.392054318821433,5.37519223168215e-06,0.0285594307741811,0.5529995530008,0.424107546869114,0.168526921938676,0.527621017201424,0.614635131277032,0.677492199784774,0.00683087564456715,0.0654669373672383,0.000846768895410046,0.505803130618598,0.378502088634594,0.0117533961100055,0.590529908203446,0.582149159006468,0.00335302120023183,0.221343138969564,0,0.0560471774435902,0.572940469214572,0.00944726539006983,0.355951018390494,0.00219245948345392,0.0500885086840174,0.0438627174018069,0.0691671721752613,0,0.632422230849071,0.000913631511638289,0.0227988009413926,0.366272766217002,0.00277619617235463,3.34980712530489e-05,0.40439528033559,0.0608193445657024
"C2orf40",0,0.00369341136626821,0.0127577908463977,0,0,0.195744898614874,0,0.614559389191062,0,0,0.0414240564423857,0,0,0,0.00395568360887807,0.290008143550523,0,0,0.02275692619142,0,2.28314318223811e-08,0.0238267767049423,0,0,0.161318634840634,0,0,0,0.00620863237572814,0.0597343854565165,0.000708819265266889,0.482662368926674,0,0.0106952748214994,0,0,0.00278885697824569,0.18744018541997,0.00187919839807676,0.0482282432116766,0,0.00746897929575565,0,0.00187385253117045,0.0425005270082059,0.039338197804168,0.0607004955824453,0,0,0.000390522824731719,0.0204775639768792,0.329745376415693,0.00277845370511426,0.000254430504279572,0.366078400908582,0.0560510204133398
"C5orf49",0,0.00519422354492124,0.00805416630895272,0.332192049789558,0,0.192271589090571,0.341895079630016,0.30751839639139,0,0,0.0232158320766739,0,0.306862520153727,0.302634509155668,0.00306945951061498,0,0,0,0.0103797743957761,0.310575402059344,3.13205661470295e-05,0.0248949152876162,0,0,0,0.293001587287917,0,0,0.0011896184412007,0.0638278272668237,0.0020975119261477,0,0,0,0,0,0.00306170866023329,0.18636744720785,0.00144772668734251,0.0459511343608708,0,0.0125522739995374,0,0.00159753819728478,0.0325893590909384,0.0229631159370653,0.0521418063584917,0,0,6.38868727499232e-05,0.0130753530091577,0,0.00135073889804791,0.000580459712952944,0,0.0218222278234436
