"","AC013264.2","AGER","BPIFB1","C11orf88","C11orf97","C12orf75","C1orf194","C20orf85","C2orf40","C5orf49","C8orf4","C9orf116","C9orf24","CAPSL","CAV2","CCDC146","CCDC170","CCDC78","CEACAM6","CFAP126","CLIC5","CXCL17","DNAAF1","DYNLRB2","FABP6","FAM183A","FAM216B","FAM92B","GGTLC1","HOPX","ITLN2","LDLRAD1","LRRIQ1","MDK","MORN5","MS4A8","MYL9","PIFO","PIGR","RNASE1","ROPN1L","RPS4Y1","RSPH1","RTKN2","S100A14","SCGB1A1","SFTA2","SFTPC","SNTN","SPOCK2","TFPI","TMEM190","TNNC1","UPK3B","ZMYND10","class"
"AC013264.2",0,0.000653739745133823,0.00249448013646886,0.00463002444700626,0.0140583713073284,0.00428284183764126,0.00369803488850334,0.00475985620374145,0.00782079861843378,0.00315168274266721,0.000847534148541664,0.00414520979096634,0.00472024655758684,0.00327670275671641,0.00117571558865851,0.00776758304884003,0.00553774778298607,0.00504886910442762,0.000811395443019959,0.0048700109527247,0.00146715008451216,0.00158173972676114,0.00721101024036894,0.0109103189014085,0.00535833826085684,0.00663824526447858,0.00814383113122072,0.0141943376698634,0.000817720509596175,0.000602799352014469,4.54712698544751e-05,0.00887093380064513,0.00489342992684679,0.00120297769925041,0.00786455235055581,0.0128433576925538,0.00134192160092273,0.00364345525848126,0.00196878477599072,0.00106409823544216,0.00634699165485726,0.00187481748137124,0.00305503805127131,0.00017731854443336,0.00100484741876136,0.00230332579716351,0.00123908747259047,0.000867591983430536,0.00836017907554478,0.000682640546133043,0.00117683831250423,0.0144580365997005,0.000918441119048317,0.000394682038548945,0.00807362493245885,0.00144688066433248
"AGER",0.00099339025847736,0,0.00393076060261582,0.000736838141673353,0.000527195220998031,0.00449567043734237,0.000573017454210886,0.000352438234691131,0.000597235740941623,0.00210650886724836,0.0362572282156023,0.00241944537940777,0.000912417309461746,0.000579832451052372,0.0967474117841629,0.00230915905521609,0.00125791731753925,0.000702775538934987,0.0150223910688793,0.000724476795997577,0.136659961515856,0.068197057501795,0.00116991238583913,0.00176944182452255,0.00218513985715602,0.000887733792770939,0.000978069103168421,0.000273516063940888,0.0324042502291049,0.0153540877881513,0.18271751301799,0.000760935981343918,0.00200165387322189,0.0273431101476639,0.00104067340689129,0.000777510758923876,0.12216314723419,0.00417072180345734,0.0412305618449299,0.019045487466603,0.000701292460249792,0.0158305933964107,0.00124377195202239,0.222881506038516,0.023170720075656,0.0129835756375989,0.0112068732226679,0.0165071617850868,0.000669859370048599,0.167972373786265,0.0382265539492981,0.00106828220318107,0.168397457311673,0.149671759818111,0.00170288437523424,0.0237165591389593
"BPIFB1",0.000820610656466127,0.000820001850907467,0,0.000616468498295988,0.000457125479611412,0.00151491077940871,0.000724412177316401,0.000279148434828099,0.000623628083130087,0.00106103202176512,0.00421283406443932,0.00266638282259782,0.000697217195942737,0.000809247821189635,0.00324939147389227,0.00182475256253802,0.00103582797649368,0.000718225077346787,0.00357560542811491,0.000911856206288148,0.00187411909455806,0.00530826983525053,0.000691524743838295,0.000815872803707885,0.00226531958691233,0.000602294783101901,0.000622706454319192,0.000463510821665361,0.00149219202589633,0.0165656396890637,0.00163281875374726,0.000927576205946571,0.00104399841356694,0.0114437063320927,0.000526332421227664,0.00885660343811223,0.00157323266801186,0.000745628131451322,0.0178987747915078,0.00268614458898042,0.000823545776215202,0.0045726200210428,0.000448751248293706,0.00158686969075859,0.00426210888917892,0.105109838799308,0.0278277496192431,0.00224084382735829,0.000449446598154061,0.00159767801859233,0.0034683320138325,0.00131220467776084,0.00162271710175487,0.00455171434304883,0.00060264107808584,0.0116978159575469
"C11orf88",0.03700574737089,0.000725997575056722,0.00528486942712317,0,0.0489564998185094,0.0472264137226306,0.0784571969676771,0.0747363208280579,0.0589627257633587,0.0822629034199751,0.0069682190434442,0.062328364631051,0.0782370527326061,0.0913343041187938,0.00159352086227477,0.0532258435034876,0.0682353547421982,0.0463317643110526,0.00629112513132918,0.0649077818304898,0.00106394525292473,0.00381135058890885,0.0506395007412802,0.0602157301319303,0.0366396243134039,0.0708286113664578,0.0657799464547677,0.0560430888425857,0.000611952380379685,0.0155820253755766,0.000298978408327781,0.0286518827675248,0.0529151368735627,0.00235531457086854,0.0653949238308106,0.056804949998123,0.00141415328721816,0.0513780987379447,0.00248528217047106,0.0146952080069908,0.0516359616621902,0.00365318985858034,0.0693499481103616,0.000389559765467759,0.0143261546365247,0.00696131396710635,0.0158394800125322,0.00207958392903198,0.0651640017257526,0.000647678147149217,0.00144300260960789,0.0408436116250373,0.00064175197218849,0.000922345524965647,0.0573302735859463,0.00607418162053253
"C11orf97",0.0193662286006203,0.000150190093148498,0.00221369664214584,0.0106206077110756,0,0.0112190765452336,0.0111705548189872,0.0124263756693476,0.0108863358625667,0.00644937292426784,0.000302287449516346,0.0100967588709909,0.00498322263566818,0.0143506614577935,0.000563902585383782,0.00971904648444429,0.0272546018871531,0.0123939420668337,0.000590334015881104,0.00857655218839743,0.000624267718545064,0.00123596228226262,0.00767404028227595,0.0123979698349075,0.00644809884218201,0.0157703856487676,0.0177858754072251,0.00610094746108743,8.62349473365015e-05,0.000788242279429958,5.36407579312225e-05,0.0160625178331593,0.00547874507526832,0.000728572819861682,0.00587271011000668,0.0165388864340678,0.000657209158743948,0.0044047412152813,0.00137758924824706,0.00102359328959217,0.0183776151979325,0.00122995479518819,0.00955764168252515,0.000120885189188539,0.00122304663178742,0.00176116047267778,0.00147798331972915,0.000640550844649407,0.0179155563450296,0.000268448443893165,0.00052967454870331,0.0184467585629539,0.000445716950761967,0.000155357043589735,0.0073755566416535,0.000614853181385725
"C12orf75",0.00441540460617568,0.00252806210658434,0.00614209960501485,0.00412868130368577,0.00685185807349692,0,0.00239609207312183,0.00455044078281813,0.00448726838917505,0.00843387514943278,0.00478556076497797,0.0058397563363388,0.0037090896715289,0.00377647914561784,0.00618787434761521,0.00549883204946102,0.00411775094599436,0.00424246283351595,0.00377510971007748,0.00696391294594687,0.00584934762702235,0.00670888912536122,0.00376159780657262,0.00387581414218383,0.0103807275157615,0.00424583258005147,0.00529488165772201,0.00418330635385815,0.00795259821349964,0.00644536584616397,0.00132033730745442,0.00830322016353553,0.00642938882481138,0.00620444988109754,0.00420895657715504,0.00337602460566755,0.00558754524399046,0.00551421612726655,0.00646667109344374,0.0034381247593302,0.00643736918266538,0.00938671731811003,0.00540374515658732,0.00120097483551724,0.00709664575063671,0.00493724160030209,0.00482062251736977,0.00237249050592075,0.00333911957249295,0.00791187584882496,0.00750203770550136,0.00666057920923359,0.00561808487951191,0.00270592662804354,0.00702775674827468,0.00182146781367286
"C1orf194",0.0998146381397159,0.000814876490678162,0.00666401839138039,0.104181182124474,0.0860176485005557,0.0869694388060761,0,0.138772290412148,0.126323732112424,0.0872185383445583,0.0204829531584296,0.0835915305913608,0.125837237943463,0.113313638984958,0.00241590108967909,0.107984187083859,0.0877455768387028,0.0952542469963233,0.0102698758273078,0.103336122364138,0.00168849584827198,0.0085891312967134,0.0974145303734569,0.0887906723212269,0.0743600250651643,0.111330633321531,0.106190965457311,0.0998883142553463,0.00141250521960959,0.0253046088780814,0.000471333206471332,0.114372224062309,0.0935630265938218,0.00555511618906924,0.118911075940582,0.111561942887462,0.00196857295720157,0.0941020870392749,0.00230532161883545,0.0305026490953281,0.114661212539767,0.00353276700166967,0.111200779303315,0.000392981924803837,0.0241665600741277,0.0100105085395432,0.0275919541357862,0.00285828050650356,0.118505044139085,0.00119844872889352,0.00431025037157593,0.0736325019797972,0.0010829656463934,0.000705893565382601,0.100471185157805,0.0143270230276121
"C20orf85",0.0922270350653335,0.000538068192311277,0.00466843727538962,0.127462727518542,0.113021212606537,0.0777637787740324,0.129909622709956,0,0.0989824262134089,0.0661350851580926,0.0234339342672292,0.0779249050624358,0.114030936734077,0.0789651172756824,0.00245412378445722,0.0887287229382038,0.0990089948860107,0.111231836533604,0.0088955575795997,0.0726972386984902,0.00194223882151027,0.00832992652522681,0.110425234377192,0.117323542717012,0.0649325717617436,0.102839772110193,0.11276886540661,0.139656375801481,0.00124622825234378,0.0301849887931648,0.000298268956283473,0.0996305621161506,0.114228411342149,0.00582399721316633,0.102954033445466,0.116593769037296,0.00167592478279903,0.0790281883096748,0.00175015190928657,0.0273583982923215,0.079214388153874,0.0029571473031403,0.107806754971913,0.000396729404633803,0.0227315554732886,0.0123712150101677,0.033691496022953,0.00311453303469298,0.112174683116443,0.000974910333504587,0.00463956939714161,0.108292094224106,0.000724714926784084,0.00115839334376326,0.100780591510233,0.0137673819798002
"C2orf40",0.0435635209184203,0.00035086463637516,0.00320338991543413,0.0286842863970978,0.0307726906938879,0.0222529586120196,0.0224178055693297,0.0454262027251851,0,0.0146136607704992,0.00379907894147352,0.0138716344595549,0.0340767597620199,0.029497075968054,0.00196594391319416,0.0268386542052137,0.0300267933905206,0.0295892299927234,0.000956440291036441,0.0139371520968703,0.000681132998069589,0.00188125102217807,0.0242269843806167,0.0372437488526389,0.0489263997755857,0.0194090680252418,0.0333563959642736,0.03555458082173,0.00047212936666454,0.0163305512010232,0.000243314471575673,0.0504610830694478,0.0260315487560737,0.00174596383534457,0.0210419356951312,0.0330664174083886,0.000893815151071231,0.019128340058722,0.00148108748798724,0.00373725112884491,0.0173933663794367,0.00176204376892735,0.0144975725405653,0.000258920994741158,0.00398657090649038,0.00628805562103918,0.00977852511617971,0.000943903831695932,0.0260200004506755,0.00122130881644768,0.00163808147819903,0.0324740714202302,0.000660095749294748,0.000429528309210072,0.0367234469006833,0.00839716370251689
"C5orf49",0.0083833626140127,0.00315781121859058,0.0069082991014602,0.0318246277545173,0.0131213389720953,0.024421033148907,0.0195515550823443,0.00698343812045695,0.0076736202685156,0,0.00546592590202007,0.0252032762268556,0.00867780492692846,0.0184221122067739,0.00449735962744643,0.01080025034037,0.0127860026311799,0.0131951277969454,0.00523200642100225,0.0745287677637388,0.00300236166311266,0.00864576520849077,0.0154801859158356,0.0115355468073067,0.00763734806221604,0.0193276533097961,0.00883992856706406,0.0112680565812029,0.00348193750110223,0.00437156264219872,0.000568833524266454,0.0088779130648542,0.0182254741227647,0.00483729339985325,0.0129959763649812,0.00665332109095545,0.00462977660912575,0.0381603429473751,0.00585767686817198,0.00852444838251919,0.0234967153850237,0.0111569744961944,0.036924185575113,0.00140855689781757,0.00605598741208951,0.0051615451304885,0.00346794655549112,0.00271406940150201,0.0139654089553249,0.00239999541906891,0.00480306522389386,0.00930764304585989,0.00364158392598943,0.000939889759172914,0.00900387453967365,0.00195157199059152
